Nb de leçons divergentes entre l'édition et témoin :1664
Nb de leçons en commun avec C2 :51
Nb de lieux variants en commun avec C2 :83
Nb de leçons en commun avec C3 :58
Nb de lieux variants en commun avec C3 :81
Nb de leçons en commun avec D :119
Nb de lieux variants en commun avec D :185
Nb de leçons en commun avec E2 :145
Nb de lieux variants en commun avec E2 :241
Nb de leçons en commun avec F2 :205
Nb de lieux variants en commun avec F2 :371
Nb de leçons en commun avec G1 :581
Nb de lieux variants en commun avec G1 :933
Nb de leçons en commun avec M1 :1664
Nb de lieux variants en commun avec M1 :1663

Nb de leçons en commun avec N :1061
Nb de lieux variants en commun avec N :1293

ajout
220
Pourcentage : 13.221153846153847
Nb de leçons en commun avec C2 :1
Nb de lieux variants en commun avec C2 :4

Nb de leçons en commun avec C3 :3
Nb de lieux variants en commun avec C3 :8

Nb de leçons en commun avec D :6
Nb de lieux variants en commun avec D :17

Nb de leçons en commun avec E2 :7
Nb de lieux variants en commun avec E2 :22

Nb de leçons en commun avec F2 :9
Nb de lieux variants en commun avec F2 :32

Nb de leçons en commun avec M1 :220
Nb de lieux variants en commun avec M1 :220

Nb de leçons en commun avec N :114
Nb de lieux variants en commun avec N :172

Lemme 	leçon
Sires	Sires que tu aoures (G1 M1)	1
et a ceste covenence seet s'i tindrent bien	et qu'il se tenoient bien ce disent a ceste
                convenenche (M1)	1
Li moigne qi estoient deciple	il estoit molt grans a desmesure et molt estoit
                    haut. Li moine qui estoient deciple (M1 N1)	1
estoient	en estoient (M1)	1
avoient	en avoient (M1 N1)	1
pou	un poi (E2 F2 G1 M1 N1)	1
mis	mis a lor avis (M1)	1
li	tuit li (G1 M1)	1
ploroient	prisent a plorer (M1 N1)	1
establissoit il et faisoit	establissoit il autel de crestiens et faisoit (M1)	1
beau	molt bel (M1)	1
creoient	creoient mie (M1 N1)	1
tost	molt tost (M1 N1)	1
peüssiez	repeüssiez vos (M1)	1
desconfeïssent	les desconfesissent (M1 N1)	1
l'evesqe	le saint evesque (M1)	1
car	car bien saichiés qu' (M1 N1)	1
ravaler	a devaler a tout le coup (M1 N1)	1
gisoit	gisoit a terre (M1)	1
proia au seint home	proia au saint home merchi (M1)	1
manoient	manoient et habitoient (G1 M1 N1)	1
faisoit	leur fesoit (G1 M1)	1
soudeinement	molt soudainement (G1 M1 N1)	1
granz vertuz	grans vertus por bien ne por diginité qu'en lui eüst (M1)	1
de	del pere a (M1)	1
dist	le dist (M1)	1
tormentoit	tormentoit molt (F2 M1)	1
i ala por lui amener	i ala por le dervé amener au saint home (M1 N1)	1
denz	dens eskignes (M1 N1)	1
foi	sainte foi (M1 N1)	1
de celui	del cors de chelui (M1 N1)	1
fist	fist maintenant (M1)	1
et entra en un serjant de la meson	et encontra un sergent de la maison, si li entra el
                cors (G1 M1 N1)	1
a	encontre (M1 N1)	1
sanz poor	sans paour avoir (M1 N1)	1
meüst	meüst en nule maniere (G1 M1 N1)	1
chaut	tout chaut (G1 M1 N1)	1
ainz	si (M1 N1)	1
durer	durer en nule maniere (G1 M1 N1)	1
des oevres au deable	del deable par les oevres saint Martin (M1 N1)	1
des messagiers	de messaiges par le contree errans (M1 N1)	1
cez messages	ches messaiges et ces nouveles (M1 N1)	1
dist	li dist (M1)	1
toz	touz celz qui la estoient (G1 M1 N1)	1
la citez	la cités de Tours (M1)	1
trova	trouva la (M1)	1
saciez	le sachiés (M1)	1
seint Martin	monseigneur saint Martin (M1)	1
par la volenté	par l'umilité et par le volonté (M1 N1)	1
puis	puis chel jour (M1)	1
Adonc	Dont (M1 N1)	1
contreval	qu'il fist contreval (G1 M1 N1)	1
couchierent	coucherent en son habitacle (M1)	1
evesqes	pluseurs evesques (G1 M1 N1)	1
les apostres	le maniere des apostres (M1 N1)	1
comandast	li conmandast (D E2 G1 M1 N1)	1
proia li empereres	proia Maximes li empereres (M1)	1
lor guerissons	leur garisons et leur regnes (G1 M1 N1)	1
deffendu	par sa volonté deffendu (M1)	1
l'empereor	Maxime l'empereor (M1)	1
ensamble o	avec (F2 G1 M1 N1)	1
Li empereres si fu molt liez	molt fu liés Maximes li empereres de grant maniere (M1)	1
qe meintenanttout maintenant manda il	manda il maintenant le saint home. Il manda (M1 N1)	1
autres	autres mes aprés (M1)	1
s'agenoilla	conme coustume estoit s'agenolla (M1 N1)	1
si	et puis (M1 N1)	1
de cui tous li biens vientli biens toz viennent en terre et el ciel lassus	car de lui vient trestoz li biens qi sont el siecle
                terrien et trestous chilx el chiel lassus (M1)	1
joie	tel joie (C2 M1 N1)	1
trestoz	tant com il mengerent et tout cil qui
                        servoient (M1 N1)	1
seinz Martins	mesires sains Martins (M1)	1
seüst	che seüst il (M1 N1)	1
Valentinien	l'empereor Valentinien (M1)	1
raconte	dist et raconte (M1 N1)	1
onques	onques si tost (G1 M1 N1)	1
rasamblees	assemblees et requises (G1 M1 N1)	1
trestorner ne partir	quatir ne destorner a nul fuer (M1)	1
toute sanglante	toute sanglente. Dont moustra au saint home sa main
                et son braz tout sanglent (G1 M1 N1)	1
ensanglenté	ainssi ensanglenté (M1 N1)	1
nus	nus moines (G1 M1 N1)	1
moroit	moroit et qu'il ne rendoit l'ame (G1 M1 N1)	1
cornes	as cornes del buef (M1)	1
Il escoust	Il escoust, fait il, (G1 M1)	1
devant eus toz	devant les sains homes qui la estoient assamblé (M1)	1
celui qerre	aler querre chelui (M1)	1
se tresmuoit il et aparoit	se mostroit il et aparoit (M1 N1)	1
la croiz	le sainte crois (M1 N1)	1
n'en avoit ne poor	n'avoit del deale ne paor (M1 N1)	1
soventes foiz	soventes fois et entendoient (M1 N1)	1
disoit	faisoit et disoit (M1)	1
disoit	li disoit a haute vois (M1 N1)	1
qi les	qi les pechiés (M1)	1
cil	tuit cil (G1 M1)	1
avoir pardon	avoir pardon de nostre Segneur ne nule indulgence (M1)	1
avoient	avoient mis (G1 M1 N1)	1
sera	me sera (G1 M1)	1
apela un de ses freres	parla a lui un des ses freres, mais Natholius l'apela
                ançois (M1)	1
la vesteüre	le vesteüre qe cil avoit vestue (M1)	1
li pluisor	li plusor des freres entriaus (M1)	1
pluisors afaires	pluisors signes a faire (M1)	1
ot	ot che (M1)	1
dist	lor dist (M1 N1)	1
conme	si conme (E2 M1 N1)	1
vraiement	cose sans doutance (M1 N1)	1
cez choses avez oïes	avés oïes et entendues ces coses (M1 N1)	1
a veritables	a veritables ne mie a menchoignes ne a fables (M1 N1)	1
vertus	grans vertus (M1 N1)	1
le seint home	le saint home lonc tans (M1)	1
pechiés	pekiés et felonie (M1)	1
ne n'avoit autres coutes	seur che avoit apris a gesir li sains evesques ne
                autres kieutes (M1 N1)	1
n'autres orelliers ne autres lincieus	ne autres linchex ne autres oreilhers n'avoit li sains
                hom (M1 N1)	1
tele molece	tel moleche et si soef (M1 N1)	1
flamber	faire grant flambe (G1 M1 N1)	1
entendi tant	tendi tant se main et entendi (M1)	1
grant	si grant (G1 M1 N1)	1
se coucha	s'estendi adens (M1)	1
la flambe ne li feus	les flanmes ne les caurres qi grandes estoient et
                    desmesurees (M1)	1
mes	a mes (M1)	1
oiseaus	les oisiaus (M1 N1)	1
Aprés	Après ce (C3 D G1 M1 N1)	1
Lors	Et qant il oïrent chou, si (M1 N1)	1
desfendera	les desfendera (G1 M1)	1
li pasteur n'i sera mie	li paistres ne les desfendera mie ne nos sera (M1)	1
mie	mie a toi (M1 N1)	1
meüs en pitié	meüs par le duel que si desciples faisoient (M1)	1
volentiers deguerpir	volentiers departir ne iaus deguerpir (M1)	1
Et	Et quant (G1 M1)	1
nuisance	nuisance ne grever (M1 N1)	1
Car il estoit plus blans qe leiz ne noiz negie	Il estoit plus purs et plus blans que lais ne que
                    noif negie (M1 N1)	1
et as voies	et en voies et en chemins (M1 N1)	1
estoient	i estoient (D G1 M1 N1)	1
une grant tençoncontençontence	une grant tence et une grans discorde (M1)	1
ce	che fait (M1 N1)	1
il en tel maniere	li un et li autre en tel maniere et estriverent (M1)	1
sachiez bien	sache bien qi ce demande (M1 N1)	1
bien convertie a la crestiene loy	bien a le crestienne loi convertie (M1)	1
conté	devant conté (M1)	1
si entendist	si mesist en l'escouter toute s'entente (M1)	1
chose nule	a cele fois nule cose (M1)	1
de terre	andoi de terre (M1 N1)	1
elon ciel	qu'il l'enportent lasus el ciel (G1 M1 N1)	1
lor compaignie	se crueuse compagnie (M1)	1
com seint Martin	et aorné de si bones oevres conme sires sains Martins
                estoit (M1)	1
savoient	le savoient (M1)	1
l'ame	l'ame du saint home (G1 M1 N1)	1
de	de la cité de (G1 M1 N1)	1
seinz Ambroses	li sains hom sains Ambroises (M1 N1)	1
ne troublez	ne torblés mie (M1)	1
valu	valu et conforté (G1 M1)	1
m'a	m'i a (C3 M1)	1
car	Et bien sachiez que (G1 M1 N1)	1
Et	Et que (M1 N1)	1
seulement	tant seulement (M1)	1

casAbs
7
Pourcentage : 0.4206730769230769
Nb de leçons en commun avec C2 :2
Nb de lieux variants en commun avec C2 :3

Nb de leçons en commun avec C3 :2
Nb de lieux variants en commun avec C3 :2

Nb de leçons en commun avec D :3
Nb de lieux variants en commun avec D :4

Nb de leçons en commun avec E2 :3
Nb de lieux variants en commun avec E2 :5

Nb de leçons en commun avec F2 :0
Nb de lieux variants en commun avec F2 :1

Nb de leçons en commun avec M1 :7
Nb de lieux variants en commun avec M1 :7

Nb de leçons en commun avec N :3
Nb de lieux variants en commun avec N :3

Lemme 	leçon
volenté	volenté de (G1 M1)	1
nostre	de nostre (E2 G1 M1 N1)	1
del	le (M1)	1
nostre Signor	de nostre Seignor (C2 C3 D E2 M1)	1
seint Pierre	de saint Pere (G1 M1)	1

etym.
22
Pourcentage : 1.3221153846153846
Nb de leçons en commun avec C2 :0
Nb de lieux variants en commun avec C2 :0

Nb de leçons en commun avec C3 :1
Nb de lieux variants en commun avec C3 :1

Nb de leçons en commun avec D :2
Nb de lieux variants en commun avec D :2

Nb de leçons en commun avec E2 :5
Nb de lieux variants en commun avec E2 :6

Nb de leçons en commun avec F2 :0
Nb de lieux variants en commun avec F2 :4

Nb de leçons en commun avec M1 :22
Nb de lieux variants en commun avec M1 :22

Nb de leçons en commun avec N :16
Nb de lieux variants en commun avec N :18

Lemme 	leçon
ert	estoit (M1 N1)	9
erent	estoient (M1 N1)	8
estoit	iert (M1)	3
n'ert	n'estoit (E2 M1 N1)	1
n'estoient	n'ierent (M1 N1)	1

inv.
147
Pourcentage : 8.834134615384617
Nb de leçons en commun avec C2 :3
Nb de lieux variants en commun avec C2 :4

Nb de leçons en commun avec C3 :2
Nb de lieux variants en commun avec C3 :3

Nb de leçons en commun avec D :7
Nb de lieux variants en commun avec D :11

Nb de leçons en commun avec E2 :8
Nb de lieux variants en commun avec E2 :16

Nb de leçons en commun avec F2 :8
Nb de lieux variants en commun avec F2 :19

Nb de leçons en commun avec M1 :147
Nb de lieux variants en commun avec M1 :147

Nb de leçons en commun avec N :81
Nb de lieux variants en commun avec N :108

Lemme 	leçon
mout doit on doucement et volentiers le bien oïr et entendre	Cascuns crestiens doit bien oïr et entendre volontier
                    le bien (M1)	1
par le bien savoirsavoir oïr et retenir	por le bien oïr et savoir et retenir (M1 N1)	1
les oevres et  les vies	les vies et les oevres (E2 G1 M1 N1)	1
petit avoir fait	avoir petit fait (G1 M1)	1
richesces et avoirs	avoirs et richesses (D M1)	1
YsabbarieYsapbarieYsapharie avoit nonestoit apelez	qui avoit a non Ysapharie (M1)	1
et de par mere et de par pere	et de par pere et de par mere (D E2 F2 G1 M1 N1)	1
qi leles servoit tant seulement	tant seulement qui le servoit (M1 N1)	1
c'on en lui veoit	que on veoit en lui (M1 N1)	1
et norrissoit les besoigneus	et les besoigneus norrissoit (M1)	1
chevauchierentchevauchoienttrespassa un jor parpar mi la cité	chevalcherent par mi la cité un jor (M1)	1
n'avoient faitfaisoient au povre home nul bien	ne faisoient nul bien au povre home (M1)	1
as povres et departies	et departies as povres (M1)	1
vestuz estoit	estoit vestuz (G1 M1 N1)	1
a douner et a departir	a departir et a donner (C2 C3 D E2 G1 M1)	1
nostre Signeur Deu	Dieu nostre Seigneur (M1)	1
estoit a venirdevoit estre a lendemein	lendemain estoit a venir (M1 N1)	1
Li empereres, qant il oï ce	qant ce oï li emperieres (G1 M1 N1)	1
trova bien et provaesprouva	prova bien et trova (M1 N1)	1
hauça li uns	li uns hauça (G1 M1 N1)	1
a l'un d'eus a garder et a tenir	a garder a l'un d'iaus et a tenir (M1)	1
molt li priarequist	li pria molt (M1 N1)	1
eü mout longement	molt longement eü (M1)	1
le laidengierentlesdengoient et batirentle batirent de verges	le batirent il de verges et le laidengierent (M1)	1
de lad'ilec seinz Martins departizpartiz	sainz Martins partis de la (M1 N1)	1
fu mout dolenz, siet conmença a plo--rer	conmença a plorer et fu molt dolanz (G1 M1 N1)	1
Adonc et en cel tens	En chel tans adont (M1)	1
a la cité venist	venist a la chité (M1)	1
de Torsde la tant seulement	de la tant seulement (M1 N1)	1
ordenez a evesqearcevesque  ende la cité de Tors li seinz hom	ordenés li sains hom a evesque en le cité de Tours (M1)	1
devant avoit	avoit devant (D E2 F2 G1 M1 N1)	1
cheve estoit	estoit cavee (G1 M1 N1)	1
estoientavoient en communité mises totes lor choseslor choses mises	toutes leur choses estoient mises en communité (G1 M1)	1
Tuit manoientmanjoient ensamble	Tout ensamble mengoient (M1 N1)	1
s'enfermetez ne le destreignoitli feïst faires'il n'avoit enfermetéou trop granz maladieaucune maladie	s'enfermetés ou trop grant maladie ne le
                destraingnoit (M1)	1
poesté ont	ont poesté (M1)	1
fet fere un autel	fet un autel fere (C3 M1 N1)	1
par grant amor et par grant diligense	par grant diligence et par grant amor (M1 N1)	1
en l'oneur de celui	a celui honour (M1 N1)	1
qi ensamble oavecdevant lui estoient	qui estoient avec lui (M1)	1
de loing qi venoit	qui de loing venoit (M1)	1
les covroient de blans dras, siet les comportoientportoient	les couvroient de blanc dras et les portoient (M1)	1
ancien temple	temple ancien (G1 M1 N1)	1
adonqes ena cel tens	a cel tans adonc (G1 M1)	1
le temple despecié	depechié le temple (M1 N1)	1
et droit et lonc	et lonc et droit (M1 N1)	1
sacré et beneï	beneï et sacré (G1 M1 N1)	1
celui einsi	ainssi celui (E2 G1 M1)	1
d'eus avoir	avoir d'iaus (M1)	1
ensus traite	traite ensus (M1)	1
de cheïr fere samblant	a faire semblant de chaoir (G1 M1 N1)	1
a venir enversvers lui et a cheïr	a caïr vers lui et a venir (M1)	1
i estoient soventes foiz joïessouvent veües et celebrees	soventes fois i estoient joïes celebrees (M1 N1)	1
li venz comença	conmencha li vens (M1 N1)	1
Une autre foiz avint	Lors avint une autre fois (M1 N1)	1
en orissons et en jeunesjuner	en jeunes et en orissons (M1)	1
avoitl'avoit entreprisempris a fere	entreprise l'avoit a faire (M1)	1
creoit et aoroit	aouroit et creoit (G1 M1 N1)	1
totes genz doiventdevoientdevoient bien	devoient toutes gens (M1 N1)	1
un temple depecier	depechier un temple (M1)	1
contremontamont l'espee	l'espee contremont (M1 N1)	1
arrierea terre toz estenduz	touz estenduz arriere (G1 M1 N1)	1
a celuicestui qe j'ai conté dessamblables	dessamlables a celui que j'ai conté (M1)	1
otentesoit leson colp entesé	ot entesé le cop (M1 N1)	1
et dist soudeinementmolt soudainement	molt soudainement et dist (G1 M1)	1
en la cité venuz	venuz en la cité (G1 M1 N1)	1
au seint homea saint Martin por reqerrequerrepor le reqerre soucors	pour requerre au saint home soucors (G1 M1 N1)	1
ja seinz Martins	sains Martins ja (M1)	1
s'arresterent fors dedeforsdehors la portedes portes	dehors le porte arresterent (M1 N1)	1
et sa proiereses proieres	et ses prieres a nostre Seigneur (M1)	1
entrez el cors	el cors entrés (M1 N1)	1
meïst sala mein qi dervez estoit	qui estoit desvez meïst sa main (G1 M1)	1
puissance de lui traveillier	de lui travaillier puissance (G1 M1 N1)	1
molt dolant et mout tristre	molt tristre et dolant (M1)	1
devorer et ocirre as denz	as denz devorer et ochirre (M1 N1)	1
arriere mout tost	molt tost arriere (G1 M1 N1)	1
venir sordevant eus	seur euls venir (G1 M1)	1
devant lui venir	venir devant lui (M1 N1)	1
portoient tieusces noveles	tex nouveles portoient (M1)	1
delivree de l'enemidel deable	del deale delivree (M1)	1
por retenir et oïr	por oïr et retenir (M1)	1
il fu	fu il (M1)	1
un pou de ses vesteüres avoient	avoient un peu de ses vesteüres (M1 N1)	1
parpour ce qu'il a eus les atouçoient	por che qu'il les atouchoient a iax (M1)	1
ceste vie entendent	entendent ceste vie (G1 M1 N1)	1
lasa lumiere receüe	recheüe le lumiere (M1 N1)	1
montés en un cenaillchevalsolier par une eschiele	par une eschiele montés seur un cenaile (M1 N1)	1
santé receüegariz lendemein	lendemain santé recheüe (M1 N1)	1
ensamble oavec lui mengeroit	mengeroit avec lui (F2 G1 M1 N1)	1
en sa compaignie estoit venuz	estoit venuz en sa compaignie (G1 M1)	1
devant l'empereor tenoit la coupe d'or	la coupe d'or tenoit devant l'empereor (G1 M1 N1)	1
agenoilliez estoit	estoit agenoilliés (M1)	1
la coupe baillié au prestre	au prestre la coupe baillie (G1 M1)	1
devoient avenir	avenir devoient (G1 M1 N1)	1
demostrer et fere	faire et demoustrer (G1 M1 N1)	1
le deable einsi parler	ainsi parler le deable (G1 M1 N1)	1
bien poez	poés bien (M1 N1)	1
contéraconté et dit	et dit et conté (M1)	1
tous cels de lor pechiés	de leurs pechiés tous chiaus (M1 N1)	1
pardeencore lui pardonmerci	merchi par lui (M1)	1
a lui parloit	parloit a lui (M1)	1
lor cuers et lor ententes	leur ententes et leur cuers (G1 M1 N1)	1
veoir la	le veïr (M1 N1)	1
fu ele	ele fu (C2 D E2 F2 G1 M1)	1
mostrerdemoustrerdemorerdemener devant lui	devant lui moustrer (F2 M1 N1)	1
a pluisors croirecroire ceacroire	croire as plusors (M1)	1
li evesqes puis	puis li evesques (G1 M1)	1
a temptertempester seint Martin en celce  tempoiretans	saint Martin en cel tempoire a tempter (M1)	1
en orissons toz seus	tous seus en orisons (M1 N1)	1
precieuses pierres	pierres precieuses (D E2 F2 G1 M1 N1)	1
ceste parole autre foiz a dire	autre fois a parler ceste parole (M1)	1
dire au seint home de sa bouche	le saint home de sa bouche conter et dire (M1 N1)	1
cuidié et dit	dit et cuidié (G1 M1 N1)	1
proprementpremierement le vit	le vit proprement (C2 D E2 M1)	1
a peines ose	oz a paine (G1 M1 N1)	1
avoir lui meïsmes garanti	avoir garandit lui meïsmes (M1 N1)	1
fesoit molt grant froidure	molt faisoit grant froidure (M1 N1)	1
il n'ot	n'ot il (M1 N1)	1
mal feire	faire mal (M1 N1)	1
peine: autre	autre painne (M1)	1
c'estc'estoit uns chastiaus entre Poitou et ToraineTours, se descordoientqui ainssi les desheritoient	se descordoient, cil Condeit estoit uns castiaus entre
                Poitou et Toraine (M1)	1
par sa seinte parolesaint Martin par saintes paroles et puissanz as oiseausceuls	as oisiaus par se sainte parole (M1)	1
q'ilqui arrestern'arester n'i oserent: por la parole del seint home	par le parole del saint home qe arrester n'i oserent (M1)	1
aler devoit	devoit aler (G1 M1 N1)	1
remisemis la pes	le pais remise (M1 N1)	1
arriere  ena son leu	a son lieu arriere (M1 N1)	1
toutes les forces de ses membres li conmencierent a faillirdeffaillir	li conmencherent a defaillir totes les forces de ses
                membres (M1 N1)	1
grant duel a demener	a demener grant duel (M1)	1
de doçor et de repoz	de repos et de douceur (G1 M1)	1
einçois esgarder le ciel	esgarder le chiel anchois (M1)	1
tot aussiensement	aussi tout (M1 N1)	1
plenierementplainement devant	devant plenierement (M1 N1)	1
doit bien a vos soffire	vos doit bien souffire (F2 M1 N1)	1
nos a fetes	a nous faites (M1 N1)	1
n'a fait aavec nos	n'en ait avec nous fait (M1 N1)	1
certeinecerte chose	cose certaine (M1)	1
poissanz est	est puissanz (G1 M1)	1
feïssent assez	assés li feïssent (M1 N1)	1
chanterchantantes en l'air	en l'air cantant (M1 N1)	1
por oïr et por entendre	por entendre et pour oïr (M1 N1)	1
a terre ambedui	ambedui a terre (F2 G1 M1)	1
el ciel demenoient	demenoient el chiel (M1 N1)	1
le peüssent arrester ne tant ne qant	ne tant ne qant arrester le peüssent (M1 N1)	1
de seint Ambrose le boneüré evesqe	del evesque le boneüré saint Ambroise (M1)	1
epistre ne leçon	lechon ne epistre (M1 N1)	1
celestieus vertuz	vertus celestieus (M1 N1)	1
i demeinentmainent grant joie et leeschegrant leesce	joie et leeche i demainent (M1)	1

outil
227
Pourcentage : 13.641826923076922
Nb de leçons en commun avec C2 :5
Nb de lieux variants en commun avec C2 :10

Nb de leçons en commun avec C3 :4
Nb de lieux variants en commun avec C3 :7

Nb de leçons en commun avec D :16
Nb de lieux variants en commun avec D :21

Nb de leçons en commun avec E2 :22
Nb de lieux variants en commun avec E2 :35

Nb de leçons en commun avec F2 :47
Nb de lieux variants en commun avec F2 :65

Nb de leçons en commun avec M1 :227
Nb de lieux variants en commun avec M1 :227

Nb de leçons en commun avec N :140
Nb de lieux variants en commun avec N :171

Lemme 	leçon
ensamble	avec (F2 G1 M1)	23
Si	et si (M1 N1)	17
en	a (C2 D E2 M1 N1)	9
Lors	Dont (G1 M1 N1)	9
ne	et (M1)	8
fors	hors (D E2 F2 M1)	5
Si com	La ou (G1 M1 N1)	5
envers	vers (M1 N1)	4
a	por (M1)	4
environ	entour (M1)	4
vers	encontre (M1 N1)	4
environ	entor (F2 M1)	3
jusc'a	dusc'a (M1 N1)	3
si com	la ou (G1 M1 N1)	3
Qant	Et quant (G1 M1)	3
Si	Et si (M1 N1)	3
Qant	Et qant (M1 N1)	3
dedenz	en (M1)	3
del	de (M1)	2
tres	des (M1)	2
lors	adont (M1)	2
li	et li (M1 N1)	2
Adonc	Atant (M1)	2
Li	Et li (M1 N1)	2
Si	Et (M1 N1)	2
par	pour (M1 N1)	2
einsi	si (M1 N1)	2
tresqe el	dusc'au (F2 M1 N1)	2
de	du (M1 N1)	2
en	seur (M1)	2
Meintenant	Et tantost (M1 N1)	2
dementieres	endementres (G1 M1)	2
ensamble o soi	atout (G1 M1 N1)	1
com il	qu'il (M1 N1)	1
par	par mi (M1)	1
por ce	et por che (M1)	1
jusq'atant	dusqu'atant (F2 M1)	1
Adonc	Et dont (M1 N1)	1
Ne	ne ne (G1 M1)	1
tresc'a	dusqu'a (F2 M1)	1
combatre	a combatre (M1)	1
ensamble o	aveques (F2 G1 M1 N1)	1
Et	Mais (M1 N1)	1
Aprés	Et aprés (G1 M1 N1)	1
q'a	qu'en (F2 M1)	1
fist	et fist (G1 M1)	1
tresq	dusque (F2 M1 N1)	1
por	d' (M1 N1)	1
o lui	a lui (M1)	1
a	et a (M1)	1
par devers	devers (F2 M1)	1
Por	Et en (M1)	1
et si	ne (G1 M1 N1)	1
Dont	Adont (M1 N1)	1
escuz	et escuz (G1 M1 N1)	1
encontre	contre (G1 M1 N1)	1
distrent	si disent (M1)	1
pardon	et pardon (M1)	1
fors de	dehors (E2 F2 M1 N1)	1
Ce	Et che (M1)	1
ensamble lui	ensemble o lui (C2 C3 E2 M1)	1
ensamble lui	avec lui (F2 M1 N1)	1
par	parmi (M1)	1
qant	que (M1)	1
en	envers (E2 G1 M1 N1)	1
Li empereres	Et li empereres (M1 N1)	1
puis	puis si (G1 M1 N1)	1
Bien	Et bien (M1)	1
Pluisors	Et plusor (M1 N1)	1
demora	si demora (M1 N1)	1
Puis	Et puis (M1)	1
tresc'a	dusq'a (F2 M1)	1
de	hors de (F2 G1 M1 N1)	1
