Nb de leçons divergente entre l'édition et témoin :1999
Nb de leçons en commun avec G1 :548
Nb de lieux variants en commun avec G1 :961
Nb de leçons en commun avec M1 :1021
Nb de lieux variants en commun avec M1 :1263

ajout
155
Pourcentage : 7.753876938469234
Nb de leçons en commun avec G1 :35
Nb de lieux variants en commun avec G1 :93

Nb de leçons en commun avec M1 :60
Nb de lieux variants en commun avec M1 :109

Lemme 	leçon
car	car bien saichiés qu' (M1 N)	1
ravaler	a devaler a tout le coup (M1 N)	1
manoient	manoient et habitoient (G1 M1 N)	1
de ses membres	de ses lés ne de ses membres (N)	1
un petit	un mout petit (N)	1
et dist soudeinement	et dist molt soldainement (N)	1
granz vertuz	grans vertus pour bien ne pour dignité qui en lui
                fust (N)	1
de	le pere a (N)	1
molt dolereusement	de molt dolereuse painne (M1 N)	1
sanz	et sans (N)	1
i ala por lui amener	i ala por le dervé amener au saint home (M1 N)	1
foi	sainte foi (M1 N)	1
et entra en un serjant de la meson	et encontra un sergent de la maison, si li entra el
                cors (G1 M1 N)	1
meüst	meüst en nule maniere (G1 M1 N)	1
chaut	tout chaut (G1 M1 N)	1
durer	durer en nule maniere (G1 M1 N)	1
des oevres au deable	del deable par les oevres saint Martin (M1 N)	1
des messagiers	de messaiges par le contree errans (M1 N)	1
cez messages	ches messaiges et ces nouveles (M1 N)	1
toz	touz celz qui la estoient (G1 M1 N)	1
delivree de l'enemidel deable	del deable delivre a toudis (N)	1
maladie	maladie qu'il avoit (N)	1
puis	puis ce di (N)	1
ot	ot il (N)	1
couchierent	couchierent en sa ciaulle (G1 N)	1
evesqes	pluseurs evesques (G1 M1 N)	1
nule	ne nule (N)	1
comandast	li conmandast (G1 M1 N)	1
lor guerissons	leur garisons et leur regnes (G1 M1 N)	1
ocioit	les occioit (N)	1
par	et par (N)	1
Li empereres si fu molt liez	molt fu Maximes li empereres liés de grant maniere (N)	1
autres	autres aprés (N)	1
de cui tous li  biens vientli biens toz viennent en terre et el ciel lassus	car de lui vient trestoz li biens qi sont el siecle
                terrien et trestous chilx el chiel lassus (M1 N)	1
de cui tous li  biens vientli biens toz viennent en terre et el ciel lassus	car de lui vient tous li biens qui est el siecle terrien et
                trestot cil del ciel lassus (N)	1
trestoz	tant com il mengerent et tout cil qui
                    servoient (M1 N)	1
rasamblees	assemblees et requises (G1 M1 N)	1
trestorner ne partir	partir ne destorner en nul fuer (N)	1
toute sanglante	toute sanglente. Dont moustra au saint home sa main
                et son braz tout sanglent (G1 M1 N)	1
Martin	Sains Martins (N)	1
moroit	moroit et qu'il ne rendoit l'ame (G1 M1 N)	1
conmença a raconter	commanda celui qu'il racontast (N)	1
qe	il lour dist que (N)	1
volt	li volt (N)	1
estoit	il estoit (N)	1
Il escoust	Il estorst, fait il, (N)	1
devant eus toz	devant tous les sains homes qui la estoient assamblé (N)	1
la croiz	le sainte crois (M1 N)	1
n'en avoit ne poor	n'avoit del deale ne paor (M1 N)	1
savoit	savoit bien (G1 N)	1
de ses freres	de ses dessiples et des freres (N)	1
seint Martin	mon signour saint Martin (N)	1
qi les	qui leur pechiez (G1 N)	1
mie avoir pardon	avoir pardoin de nostre Signour ne indulgence (N)	1
en la coupe	en l'indulgenses en le coupe (N)	1
chetis	meïsmes caitis (N)	1
verais	vrais et dignes (N)	1
venoient	et venoient (N)	1
noise	noise erramment (N)	1
apela un de ses freres	parla a lui uns de ses freres, mais il l'apela ainsçois a
                lui (N)	1
pluisors afaires	faire pluisors signes (N)	1
vraiement	cose sans doutance (M1 N)	1
cez choses avez oïes	avés oïes et entendues ces coses (M1 N)	1
a veritables	a veritables ne mie a menchoignes ne a fables (M1 N)	1
signes	grans signes (N)	1
le seint home	le saint home molt lonc tans (N)	1
chose	nule cose (N)	1
costume	adont coustume (N)	1
ne n'avoit autres coutes	seur che avoit apris a gesir li sains evesques ne
                autres kieutes (M1 N)	1
n'autres orelliers ne autres lincieus	ne autres linchex ne autres oreilhers n'avoit li sains
                hom (M1 N)	1
flamber	faire grant flambe (G1 M1 N)	1
entendi tant	tendi tant sa main et entendi tant (N)	1
grant	si grant (G1 M1 N)	1
la flambe ne li feus	les flammes ne les caulres qui estoient grandes et
                desmesurees (N)	1
Il	sains Martins (N)	1
qant	et qant (C2 C3 G1 M1 N)	1
Lors	Et qant il oïrent chou, si (M1 N)	1
desfendera	le deffendra (N)	1
li pasteur n'i sera mie	li paistres ne le deffendra ne n'i serra (N)	1
meüs en pitié	meüs par le duel qu'il faisoient (N)	1
ses deciples	de son proïsme et de ses disciples (N)	1
volentiers deguerpir	departir volontiers ne aus deguerpir (N)	1
disoit	leur disoit (G1 N)	1
ester le diable	devant lui ester le dyable (N)	1
nuisance	nuisance ne grever (M1 N)	1
Car il estoit plus blans qe leiz ne noiz negie	Il estoit plus purs et plus blans que lais ne que noif
                negie (M1 N)	1
la	en la (N)	1
et as voies	et en voies et en chemins (M1 N)	1
une grant tençon	une grans tence et une grans tens et une grans
                discentions (N)	1
oïes ses paroles	ses paroles oïes et entendues (N)	1
soffire	bien souffire (N)	1
ce	che fait (M1 N)	1
doit	doit il (N)	1
il en tel maniere	cil et estriverent en tel maniere (N)	1
poissanz est	est tous poisçans (N)	1
Quant	Et quant (G1 M1 N)	1
sachiez bien	sache bien qi ce demande (M1 N)	1
voiz	unes vois (N)	1
si entendist	entendist et si meïst en escoulter toute s'entente (N)	1
chose nule	a cele fois cose nule (N)	1
el ciel	qu'il l'enportent lasus el ciel (G1 M1 N)	1
lor compaignie	sa carnex compaignie (N)	1
com seint Martin	et aourné de si bones oevres conme sains Martins
                estoit (N)	1
l'ame	l'ame du saint home (G1 M1 N)	1
tens	tans tout droit (N)	1
de	de la cité de (G1 M1 N)	1
l'ot dite	si com il l'ot dite (N)	1
seinz Ambroses	li sains hom sains Ambroises (M1 N)	1
car	Et bien sachiez que (G1 M1 N)	1
ensamble o les angeles	ensamble le compaignie des angles (N)	1
ensamble o la conpagnie des seintes virges	ensamble le compaignie des angles et des virgenes (N)	1

casAbs
8
Pourcentage : 0.400200100050025
Nb de leçons en commun avec G1 :2
Nb de lieux variants en commun avec G1 :2

Nb de leçons en commun avec M1 :2
Nb de lieux variants en commun avec M1 :2

Lemme 	leçon
de li	li (N)	1
nostre Signor	de nostre Seigneur (G1 N)	1

erreur
4
Pourcentage : 0.2001000500250125
Nb de leçons en commun avec G1 :0
Nb de lieux variants en commun avec G1 :1

Nb de leçons en commun avec M1 :0
Nb de lieux variants en commun avec M1 :1

Lemme 	leçon
s'il ertestoit	s'il estoit s'il estoit (N)	1
Maximiens	Marines (N)	1
seinz	sains sains (N)	1

etym.
24
Pourcentage : 1.2006003001500751
Nb de leçons en commun avec G1 :12
Nb de lieux variants en commun avec G1 :12

Nb de leçons en commun avec M1 :13
Nb de lieux variants en commun avec M1 :13

Lemme 	leçon
ert	estoit (G1 N)	11
erent	estoient (M1 N)	6
estoit	ert (N)	4
n'ert	n'estoit (M1 N)	1
estoit	iert (M1 N)	1
n'estoient	n'ierent (M1 N)	1

inv.
137
Pourcentage : 6.8534267133566775
Nb de leçons en commun avec G1 :33
Nb de lieux variants en commun avec G1 :60

Nb de leçons en commun avec M1 :72
Nb de lieux variants en commun avec M1 :87

Lemme 	leçon
mie encore	encore mie (N)	2
les oevres et  les vies es escripturesescriptures	les vies et les oevres en escriture (N)	1
YsabbarieYsapharie avoit nonestoit apelez	qui avoit non Ysapharie (N)	1
et de par mere et de par pere	et de par pere et de par mere (G1 M1 N)	1
qi le servoit tant seulement	tant seulement qui le servoit (M1 N)	1
c'on en lui veoit	que on veoit en lui (M1 N)	1
si grant bien fait	fait si grant bien (N)	1
vestuz estoit	estoit vestuz (G1 M1 N)	1
li sovint il	il li sovint (N)	1
et livroisons asa ses chevaliers	as chevaliers et livrisons (N)	1
estoit a venir a lendemein	lendemain estoit a venir (M1 N)	1
Li empereres, qant il oï ce, 	qant ce oï li emperieres (G1 M1 N)	1
trova bien et prova	prova bien et trova (M1 N)	1
qi gaitoientagaitoient les  trespassanzle chemin liet li corurent seure	li corurent sus qui agaitoient les trespassanz (N)	1
hauça li uns	li uns hauça (G1 M1 N)	1
en temptation estoient	estoient en temptacion (N)	1
molt li pria	li pria molt (M1 N)	1
en son cheminmi sa voie le deable	le dyable en mi sa voie (N)	1
de la seinz Martins  departiz	sainz Martins partis de la (M1 N)	1
fu mout dolenz, si conmença a plo--rer	conmença a plorer et fu molt dolanz (G1 M1 N)	1
furentfurent hors tuit	furent tout fors (N)	1
ordenez a evesqe en la cité de Tors li seinz hom	li sains hom ordenés a evesque en la cité de Tours (N)	1
devant avoit	avoit devant (G1 M1 N)	1
pres ade deus luies	a .ii.liues pres (N)	1
pres ade deus luies	a .ii.liues pres (N)	1
cheve estoit	estoit cavee (G1 M1 N)	1
il avoient geuné	jeuné avoient (G1 N)	1
fet fere un autel	fet un autel fere (C3 M1 N)	1
savoir certeinnement	certainement savoir (G1 N)	1
lestouz les anciens prestres de la contree et les clersles clers anciens	les anchiens prestres et les anciieus clers de la
                contree (N)	1
par grant amor et par  grant diligense	par grant diligence et par grant amor (M1 N)	1
creature resoncertaineté savoir	savoir certaineté (N)	1
ne savoient il nule choseriennule verité	nule rien ne savoient (N)	1
o luiensemble o liatouta, ne sai qanz de ses freres aet a cel leu meïsmes	a cel meïsme liu atot ne sai quans de ses freres (N)	1
en l'oneur de celui	a celui honour (M1 N)	1
ancien temple	temple ancien (G1 M1 N)	1
adonqes en cel tens	en çou tans encore adont (N)	1
le temple despecié	depechié le temple (M1 N)	1
et droit et lonc	et lonc et droit (M1 N)	1
l'arbre a desfendre	a desfendre l'arbre (N)	1
sacré et beneï	beneï et sacré (G1 M1 N)	1
des plus  hardizqui plus estoit hardizqui plus hardis estoit de toz cels qi la estoient	de çaus qui la estoient qui plus hardis estoit (N)	1
despisoit lor dex	lor dix despisoit (N)	1
de cheïr fere samblant	a faire semblant de chaoir (G1 M1 N)	1
li seint non nostre Signeur Jesu Crist a anoncier	a anuncier le saint non nostre Signour (N)	1
mostier ou eglyseet chastiaus et egliseset eglises	moustiers et eglises (N)	1
por lui un beaumolt bel miracle	bel miracle pour lui (N)	1
i estoient soventes foiz joïessouvent veües et celebrees	soventes fois i estoient joïes celebrees (M1 N)	1
li venz comença	conmencha li vens (M1 N)	1
estoitiert procheine del templedu temple molt prochainemolt pres del temple	del temple estoit mout proçaine (N)	1
Une autre foiz avint	Lors avint une autre fois (M1 N)	1
creoit et aoroit	aouroit et creoit (G1 M1 N)	1
totes genz doivent	devoient toutes gens (M1 N)	1
contremontamont l'espee	l'espee contremont (M1 N)	1
arrierea terre toz estenduz	touz estenduz arriere (G1 M1 N)	1
fu il	il fu (N)	1
ot le colp entesé	ot entesé le cop (M1 N)	1
en la cité venuz	venuz en la cité (G1 M1 N)	1
au seint home por reqerrepor le reqerre	pour requerre au saint home (G1 M1 N)	1
et ce dire	et dire çou (N)	1
li fu la parole rendue par la volenté de nostre Signor	par la volenté de nostre Seigneur li fu la parole
                rendue (G1 N)	1
entrez el cors	el cors entrés (M1 N)	1
meïst sa mein qi dervez estoit	qui dervés estoit mesist sa main (N)	1
puissance de lui traveillier	de lui travaillier puissance (G1 M1 N)	1
fist	fist erramment (N)	1
plus n'i osa	n'i osa plus (N)	1
devorer et ocirre as denz	as denz devorer et ochirre (M1 N)	1
arriere mout tost	molt tost arriere (G1 M1 N)	1
devant lui venir	venir devant lui (M1 N)	1
le nés et la bouche	et le bouce et le nés (N)	1
un pou de ses vesteüres avoient	avoient un peu de ses vesteüres (M1 N)	1
ceste vie entendent	entendent ceste vie (G1 M1 N)	1
la lumiere receüe	recheüe le lumiere (M1 N)	1
montés en un cenaillchevalsolier par une eschiele	par une eschiele montés seur un cenaile (M1 N)	1
santé receüe lendemein	lendemain santé recheüe (M1 N)	1
une foiz lessesches paroles	ces paroles une fois (N)	1
devant l'empereor tenoit la coupe d'or	la coupe d'or tenoit devant l'empereor (G1 M1 N)	1
a la table seoit et 	seoit a la table (N)	1
de boivre aprés lui	d'aprés lui boire (N)	1
tout ce vit	vit tout çou (N)	1
devoient avenir	avenir devoient (G1 M1 N)	1
demostrer et fere	faire et demoustrer (G1 M1 N)	1
le deable einsi parler	ainsi parler le deable (G1 M1 N)	1
qeïssent et cerchassent	cerquascent et quesiscent (N)	1
au deable ceste poesté dounee	ceste poestés donee al dyable (N)	1
bien poez	si poés bien (M1 N)	1
conté et dit	dit et conté (N)	1
tous cels de lor pechiés	de leurs pechiés tous chiaus (M1 N)	1
avoir poor	paor avoir (N)	1
lor cuers et lor ententes	leur ententes et leur cuers (G1 M1 N)	1
molt volentiers celui	celui molt volentiers (G1 N)	1
veoir la	le veïr (M1 N)	1
a temptertempester seint Martin en celce  tempoiretans	saint Martin en cel tans a tempter (N)	1
en orissons toz seus	tous seus en orisons (M1 N)	1
roial vesteüre	vesteüre roial (N)	1
precieuses pierres	pierres precieuses (G1 M1 N)	1
tote doree	doree toute (N)	1
ne pas	pas ne (N)	1
ceste parole autre foiz a dire	ceste parole a dire autre fois (N)	1
cele voiz et cele parole	cele parole et cele vois (N)	1
dire au seint home de sa bouche	le saint home de sa bouche conter et dire (M1 N)	1
cuidié et dit	dit et cuidié (G1 M1 N)	1
a peines ose	oz a paine (G1 M1 N)	1
avoir lui meïsmes garanti	avoir garandit lui meïsmes (M1 N)	1
fesoit molt grant froidure	molt faisoit grant froidure (M1 N)	1
il n'ot	n'ot il (M1 N)	1
mal feire	faire mal (M1 N)	1
entendre. et savoir	savoir et entendre (N)	1
c'estce estc'estoit uns chastiaus entre Poitou et ToraineTours, se descordoientqui ainssi les desheritoient	se descordoient, Condés est un castiaus entre Poitau et
                Touraine (N)	1
q'il issist de ceste vie	que il de ceste vie iscist (N)	1
de par nostre Signor fet le conmandement	fait de par nostre Signor le commandement (N)	1
aler devoit	devoit aler (G1 M1 N)	1
remisemis la pes	le pais remise (M1 N)	1
arriere en son leu	a son lieu arriere (M1 N)	1
toutes les forces de ses membres li conmencierent a faillirdeffaillir	li conmencherent a defaillir totes les forces de ses
                membres (M1 N)	1
par les meins des seinz angeles portez	portez par les mains des sainz angles (G1 N)	1
tot aussiensement	aussi tout (M1 N)	1
tant esté	esté tant (G1 N)	1
s'ense dolousoient et jemissoientgramentoient	gemiscoient et dolosoient (N)	1
plenierement devant	devant plenierement (M1 N)	1
nos a fetes	a nous faites (M1 N)	1
n'a fait aavec nos	n'en ait avec nous fait (M1 N)	1
or lessons	laiscons ore (N)	1
certeinecerte chose	cose certe (N)	1
seint cors	cors saint (N)	1
qe un seul entre deus	entr'eus deus c'un seul (N)	1
feïssent assez	assés li feïssent (M1 N)	1
grant partie ensamble o lui	ensamble lui grant partie (N)	1
por oïr et por entendre	por entendre et pour oïr (M1 N)	1
a terre ambeduiambedui a terre ensambleensembli	andoi ensamble a tere (N)	1
oïr a l'arcedyacre	l'archediacre oïr (N)	1
el ciel demenoient	demenoient el chiel (M1 N)	1
le peüssent arrester ne tant ne qant	ne tant ne qant arrester le peüssent (M1 N)	1
l'epistre devoit lire	devoit lire l'epistle (N)	1
epistre ne leçon	lechon ne epistre (M1 N)	1
celestieus vertuz	vertus celestieus (M1 N)	1
i demeinentmainent grant joie et leesche	joie i demainent et leece (N)	1

plur.
22
Pourcentage : 1.1005502751375689
Nb de leçons en commun avec G1 :4
Nb de lieux variants en commun avec G1 :7

Nb de leçons en commun avec M1 :8
Nb de lieux variants en commun avec M1 :11

Lemme 	leçon
le	les (N)	3
la chose	les choses (G1 M1 N)	1
estoit venue	estoient venu (N)	1
fu	furent (N)	1
sa proiere	ses proieres (G1 M1 N)	1
est	sunt (N)	1
la vesteüre	les vesteüres (M1 N)	1
sa	lour (N)	1
le mal	li maus (N)	1
parloit	parloient (M1 N)	1
anemis	deable (N)	1
disoit	disoient (N)	1
son fantosme	ses fantosmes (N)	1
prestres	prestre (G1 M1 N)	1
estoit venuz li proioit	estoient venu li prioient (G1 M1 N)	1
il	et il lour (N)	1
crestien	crestiens (N)	1
l'oï	les oï (M1 N)	1
pooit	pooient (N)	1
vint	vinrent (M1 N)	1

red.
37
Pourcentage : 1.8509254627313656
Nb de leçons en commun avec G1 :7
Nb de lieux variants en commun avec G1 :24

Nb de leçons en commun avec M1 :15
Nb de lieux variants en commun avec M1 :26

Lemme 	leçon
fors tant seulement	fors (N)	2
et ensamble o soi	atout (G1 M1 N)	1
donoit tout as povres	donnoit as povres (C2 G1 N)	1
se pleinstrent et gemirent	gemirent (M1 N)	1
par le povre. qi la
                vesteüre avoit receüe	de la vesteüre que li povres avoit recheüe (N)	1
trespercerai. et trespasserai	trespercerai (N)	1
alast en son païs	iroit (N)	1
cest ver del Sautier	cest ver (N)	1
les griez peines	paine (M1 N)	1
a lor dex	lour (N)	1
sacrez a oés le deable et beneïz	establis (N)	1
qi a lui apertienentapartenoient	al dyable (M1 N)	1
com tu nos diz et mostres en cecel Deu qi tu aeures	en ton Dieu com tu dis et moustres (M1 N)	1
celui einsi	issi (N)	1
cele grant mervelle de loing	cele grant mervelle (N)	1
seinte doctrine	sainteé (N)	1
tant qe	que (N)	1
arrester et aguetier	arrester (M1 N)	1
sacree et beneïe	sainte (N)	1
un de ses iols	son oeil (G1 M1 N)	1
en sa compaignie estoit venuz	en sa compagnie (N)	1
ceste chose	çou (N)	1
por aler encontre celui	a l'encontre (N)	1
la chariole, ce est la coroie	le coroie (M1 N)	1
Et encontrecontre ce disoit li deables	Li dyables respondoit (N)	1
li evesqes puis	il (N)	1
il vint	vint (C2 C3 M1 N)	1
fermeüre desfermer del huis	serrure desfremer (G1 M1 N)	1
q'il devoit morir. devant ce q'il morustsa mort	chou q'il morust le tans q'il devoit morir (M1 N)	1
seinte Eglisse	en (N)	1
qi mengoient les poissons et les devoroient	et qui devoroient les poissonciax (M1 N)	1
conmencierent tuit a plorer	plorerent (N)	1
qi de Poitiers estoient	de Poitiers (G1 M1 N)	1
qi de Tors estoient	de Tors (G1 M1 N)	1
ou il li	et (G1 M1 N)	1
s'il	si (N)	1

sing.
15
Pourcentage : 0.750375187593797
Nb de leçons en commun avec G1 :7
Nb de lieux variants en commun avec G1 :9

Nb de leçons en commun avec M1 :11
Nb de lieux variants en commun avec M1 :11

Lemme 	leçon
estoient	estoit (M1 N)	2
et por les granz torbes	et por le grant torbe (M1 N)	1
les torbes	la torbe (G1 M1 N)	1
s'asamblerent	s'asembla (G1 M1 N)	1
les flambes	la flambe (G1 N)	1
les flambes	le flamme (N)	1
descendoient	descendoit (N)	1
forces	force (G1 M1 N)	1
a eus	a lui (M1 N)	1
sa volenté	sa volenté de plusors afaires (M1 N)	1
formes	forme (G1 M1 N)	1
cez paroles	ceste parole (M1 N)	1
entendez	entende (M1 N)	1
les compaignies	la compaingnie (G1 N)	1

temps
51
Pourcentage : 2.5512756378189096
Nb de leçons en commun avec G1 :9
Nb de lieux variants en commun avec G1 :19

Nb de leçons en commun avec M1 :22
Nb de lieux variants en commun avec M1 :26

Lemme 	leçon
fu	estoit (N)	4
eüst	avoit (G1 M1 N)	2
ooient	oïrent (N)	2
ooit	oï (N)	2
eüst	est (N)	1
serve	servirai (N)	1
amonestast	amonesteroit (N)	1
feisoient	font (G1 N)	1
avoient	ont (G1 N)	1
seroit molt	fust molt (N)	1
estoit	avoit été (N)	1
avoient aoré	aoroient (G1 M1 N)	1
lessoient	lessierent (G1 M1 N)	1
avoit a lui envoiez	envoioit a lui (M1 N)	1
porent	pooient (M1 N)	1
pooient	puent (N)	1
devint	fu devenus (M1 N)	1
l'avoit grevé	l'agrevoit (N)	1
vout	voloit (C3 G1 M1 N)	1
avenoit	avenist (M1 N)	1
pleroit	pleüst (N)	1
oi	ai oï (N)	1
avenissent	fuscent avenues (N)	1
ooientoïrent soventes foiz	oïrent soventes fois et entendoient (N)	1
tesmoignoient	tesmoignent (M1 N)	1
devoit	doit (N)	1
erent receü	sunt chaü (N)	1
menti	mentoit (M1 N)	1
aporterent	aportoient (M1 N)	1
estoit de	est de (N)	1
voudroit	vielt (M1 N)	1
estoient	furent (N)	1
prooient	proierent (N)	1
poroit	pooit (N)	1
demenoient	demenerent (M1 N)	1
s'esleecierent	s'elleeçoient (N)	1
doit bien a vos soffire	vos doit bien souffire (M1 N)	1
et esleeciez	et si avés esté esleechié (M1 N)	1
fu en vie	ert en vie (N)	1
devroient	doivent (G1 N)	1
di	ai dit (M1 N)	1
entendoit	entendi (M1 N)	1
je	j'ai (M1 N)	1
m'esvellastes	m'avez esveillié (G1 M1 N)	1
estoit	avoit esté (N)	1



om.
477
Pourcentage : 23.861930965482742
Nb de leçons en commun avec G1 :179
Nb de lieux variants en commun avec G1 :203

Nb de leçons en commun avec M1 :243
Nb de lieux variants en commun avec M1 :258

Lemme 
et 	37
si	25
Et	15
il	15
i	11
de	11
li	10
a	8
se	7
grant	7
en	7
bien	7
molt	6
la	5
lor	5
mout	5
ce	4
tout	4
ne	4
meïsmes	4
les	3
tuit	3
je	3
ensamble	3
Jesu Crist	3
seinz	3
dist	2
adonc	2
seinte	2
fu	2
de ce	2
ja	2
a lui	2
sovent	2
Un autre miracle	2
seint	2
qe	2
fors	2
toz	2
par	2
qi	2
por	2
a hautes voiz	2
vous	2
devant	2
De .seint. Martin	1
et bone volenté	1
et par ce	1
l'amor	1
neet de ses gages	1
le jor	1
et besoigneus estoient	1
qe nul bien ne li firent	1
qui venoit derrieres	1
feïst bienaucun bien et 	1
n'autre rien	1
l'oevre de	1
de mesvoz enemis	1
qiqu'il ne voloitvolt mie	1
erranment	1
et seisi	1
est	1
nus	1
a seinte loyla sainte foi . et a la vraie creance del seintde baptesme	1
Seinz
                  Martins	1
le cors de	1
en croiz	1
aprés	1
dist et 	1
Adonc et 	1
qi en  la contree estoient	1
apelé	1
et li evesqe.	1
amor	1
eüe	1
lius	1
autre chose. ne	1
voie meïsmes	1
fet	1
et sa doctrine	1
avoient	1
einz	1
en nule maniere	1
et en  proieres	1
venue	1
lor deliz d'endroitaese de lor cors	1
com il	1
mon signeur	1
non	1
empriés	1
ceste seculer vie	1
et mout bien atornee	1
nene nene il n'i mist mie grant auctorité	1
qe ce vint a unau jor	1
priveement	1
li seinz hom	1
Si com seinz Martins resuscita un
              mort	1
l'en	1
et s'estut	1
de la contree	1
environenviron environentour les chans et 	1
cil q'il avoitavoient encontrez	1
qant il vout	1
tot	1
encore	1
a trenchier	1
pleinement	1
un pou loing	1
et esperdu	1
mes	1
et a preeschier	1
et lor proieres	1
de crestiens et autieus	1
Si com il ardi un templeun temple de paiens	1
estoient	1
la loy	1
mout durement	1
et granz merveilles	1
adonques	1
q'il	1
Si com il abati un temple	1
Et	1
li evesqes	1
et maumis	1
en tel maniere	1
environ li	1
a dire	1
en li	1
qi fust sipas dignes	1
les signes de	1
a crier	1
le seint home	1
et atendoient	1
Si com il delivra le serjant au conselle	1
en sa meson	1
as	1
et crioit	1
et si dist	1
meintenant	1
par bones exemples et 	1
Si com il chaça le deable hors d'une
              meson	1
 l'entree de	1
sa	1
tout ardant	1
Uns miracles de seint Martin	1
qui leur disoient (#C2)	1
et fors de doutance	1
Uns autres miracles	1
et ses oevres	1
encor	1
Uns autres miracles	1
en nule maniere	1
la grant	1
mondee de	1
cruele	1
par lui	1
Si com il rendi a un home son oel 	1
apelez	1
q'il i avoit	1
Si com il cheï del cenailldou cheval	1
Martins	1
si li	1
totes	1
et de dire	1
de Rome	1
de feire	1
genz	1
mie	1
ce estoit	1
fete	1
hauz	1
aussi	1
un jor	1
si com il est encore en us et en costume	1
a celui qi agenoilliez estoitestoit agenoilliés	1
BuerBien fu nés qi le bien puet feire	1
au prestre	1
et destruiz	1
et qi	1
si tost	1
tost	1
par	1
ne en nule forme	1
dea lor freres	1
par aventure	1
et ceste oevre	1
a la voie	1
li jous	1
as freres	1
oïr	1
vos	1
hom	1
ce est de ses deciples	1
une autre foiz par lui	1
ne ne devoit avoir de nostre Signor nule
                indulgense	1
digne	1
bone	1
freres	1
ensamble o lui	1
l'	1
en lui	1
aloient entre lui et Deu: et 	1
Quant AntiolusNatholius sot et entendi qe Clarus ne leli voloit croire	1
tres	1
i estoient oïez	1
Puis	1
d'une resplendissant porpre	1
et si dist	1
entre eus	1
lui meïsmes	1
veïmes	1
et de cler	1
estre	1
pas	1
einsi	1
fu si hardiz q'il	1
et aprés distsi dist	1
proprement	1
mes meins	1
nos	1
vilenie et 	1
li escondeïsse ne	1
en tot	1
le	1
beau	1
hors	1
qe, qant il se fu esveilliez	1
bon	1
adés	1
del cors	1
hastivement	1
mortel	1
nostre Signor	1
qe tu	1
si dist	1
a sosfrir	1
et faire	1
onqes	1
et en jeunes	1
ne ne presçoie	1
toz tens	1
aler a nostre Seignor	1
gloire	1
granz	1
qant li seinz hom fu mors	1
et une grant dissention	1
et doivent	1
tanten tant com il fu	1
envers nos	1
seinz hom	1
de grant maniere	1
grant	1
ne n'entendoitentendoit	1
et entendoit	1
et la joie	1
un pou	1
en lor compaignie	1
pecheors	1
Seinz
                  Sevrins li arcevesqes nota le tenstantost le tans et l'eure: q'il ceste chose avoit oïeavoit ceste chose oïe et puis si envoiaenvoia tantost a Tors un message tost et isnielement: por savoir se ceste
